station,date,year,month,day,precip_mm_day,coverage,quality_flag,variable,mean,min,max
BLBT,2024-07-31,2024,7,31,0,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-07-31,2024,7,31,0,1,OK (>=90%),airTemp_Min,28.6,19.7,37
BLBT,2024-07-31,2024,7,31,0,1,OK (>=90%),airTemp_Max,30.3,20.3,37.6
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),day,1,1,1
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),airTemp_Avg,29.3,22.1,36.9
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),rh,39.2,19.7,77.3
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),parDen_Avg,696.3,0,2085.6
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),swRadIn_Avg,343,-12.1,1022.6
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),windSpd_Avg,3.7,0.7,6.7
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),windSpd_Min,2.2,0.2,4.7
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),windSpd_Max,5.4,1.4,8.8
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),windDir,174.1,67.8,246.9
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),dewPt_Avg,12.8,9.9,17.8
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),vPress,1.5,1.2,2
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),vPressSat,4.2,2.7,6.3
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),airTemp_Min,28.2,21.6,36.6
BLBT,2024-08-01,2024,8,1,0.8,1,OK (>=90%),airTemp_Max,30.3,22.9,37.3
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),day,2,2,2
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),airTemp_Avg,26.5,20.5,33.8
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),rh,51.5,27.4,85.2
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),parDen_Avg,635.7,0,2075.1
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),swRadIn_Avg,310.3,-10.4,1016
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),windSpd_Avg,3.5,0.7,8.7
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),windSpd_Min,2.2,0.4,6.3
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),windSpd_Max,4.8,1,11
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),windDir,153.6,58.5,301.9
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),dewPt_Avg,14.8,11.9,18.4
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),vPress,1.7,1.4,2.1
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),vPressSat,3.6,2.4,5.3
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),airTemp_Min,25.8,19.9,33.4
BLBT,2024-08-02,2024,8,2,0.6,1,OK (>=90%),airTemp_Max,27.3,21,34.2
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),day,3,3,3
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),airTemp_Avg,26.5,19.5,35.5
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),rh,51.2,22.7,83.1
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),parDen_Avg,656.5,0,2037.4
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),swRadIn_Avg,323.3,-9.3,994.4
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),windSpd_Avg,2.3,0.2,7.6
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),windSpd_Min,1.4,0.1,5.4
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),windSpd_Max,3.4,0.4,9.9
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),windDir,184.4,57.6,290.3
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),dewPt_Avg,14.2,10.9,17
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),vPress,1.6,1.3,2
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),vPressSat,3.6,2.3,5.8
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),bPress_Avg,NA,Inf,-Inf
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),airTemp_Min,25.6,18.9,35.1
BLBT,2024-08-03,2024,8,3,4,1,OK (>=90%),airTemp_Max,27.4,19.9,35.9
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),day,4,4,4
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),airTemp_Avg,27.5,18.9,34.7
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),rh,47.9,24.4,84.7
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),parDen_Avg,637,0,2109.7
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),swRadIn_Avg,313.6,-9.6,1040
BLBT,2024-08-04,2024,8,4,0,1,OK (>=90%),windSpd_Avg,2.1,0.9,6.3
